NAME,SPECS,PRICE,RATING
"Samsung Galaxy M20 (Ocean Blue, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 512 MB16.0 cm (6.3 inch) Full HD+ Display5MP Rear Camera , 8MP + 8MP Dual Front Camera5000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",11290,4
Samsung Guru FM Plus,3.81 cm (1.5 inch) Display800 mAh Battery1 Year Manufacturer Warranty,1499,4
"Samsung Galaxy A70 (White, 128 GB)","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB17.02 cm (6.7 inch) FHD+ Display32MP + 5MP + 8MP , 32MP Front Camera4500 mAh Lithium-ion BatteryOcta core (2 GHz, Dual core, Kryo 460 + 1.7 GHz, Hexa Core, Kryo 460) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",28990,4.1
"Samsung Galaxy M30 (Gradation Blue, 64 GB)","4 GB RAM , 64 GB ROM ,16.26 cm (6.4 inch) Display13MP Rear Camera5000 mAh Battery12 Months",15899,4
"Samsung Galaxy Note 3 (Classic White, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 64 GB14.48 cm (5.7 inch) Full HD Display13MP Rear Camera , 2MP Front Camera3200 mAh Li-Ion Battery1 Year for Mobile & 6 Months for Accessories",50650,4
"Samsung Galaxy S9 (Coral Blue, 128 GB)","4 GB RAM , 128 GB ROM , Expandable Upto 400 GB14.73 cm (5.8 inch) Quad HD+ Display12MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 9810 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",61900,4.1
"Samsung Galaxy A7 (Black, 128 GB)","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB15.24 cm (6 inch) FHD+ Display24MP + 5MP + 8MP , 24MP Front Camera3300 mAh Lithium-ion BatterySamsung Exynos Octa Core Processor (2.2 GHz) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",19990,4
"Samsung Galaxy S9 (Midnight Black, 256 GB)","4 GB RAM , 256 GB ROM , Expandable Upto 400 GB14.73 cm (5.8 inch) Quad HD+ Display12MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 9810 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",65900,4
"Samsung Galaxy S9 (Midnight Black, 128 GB)","4 GB RAM , 128 GB ROM , Expandable Upto 400 GB14.73 cm (5.8 inch) Quad HD+ Display12MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 9810 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",61900,4.1
"Samsung Galaxy On Nxt (Black, 16 GB)","3 GB RAM , 16 GB ROM , Expandable Upto 256 GB13.97 cm (5.5 inch) Full HD Display13MP Rear Camera , 8MP Front Camera3300 mAh Li-ion BatteryExynos 7870 Octa Core 1.6 GHz ProcessorBrand Warranty of 1 Year",10999,4
Samsung Guru FM Plus,"128 MB ROM ,3.81 cm (1.5 inch) Display800 mAh Battery1 Year Manufacturer Warranty",1499,4
"Samsung Galaxy A6+ (Black, 64 GB)","4 GB RAM , 64 GB ROM ,15.24 cm (6 inch) FHD+ Display16MP + 5MP , 24MP Front Camera3500 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",17199,4.1
"Samsung Galaxy S9 Plus (Lilac Purple, 64 GB)","6 GB RAM , 64 GB ROM , Expandable Upto 400 GB15.75 cm (6.2 inch) Quad HD+ Display12MP + 12MP , 8MP Front Camera3500 mAh BatteryExynos 9810 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",57900,4
"Samsung Galaxy S9 (Coral Blue, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 400 GB14.73 cm (5.8 inch) Quad HD+ Display12MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 9810 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",57900,4
